customer_id,age,annual_income,emp_length_years,home_ownership,loan_amount,loan_term_months,loan_intent,debt_to_income,revolving_utilization,delinquencies_2yrs,credit_inquiries_6m,loan_status
BARC-100000,59,28600.0,5,RENT,5000,36,MAJOR_PURCHASE,11.0,71.73,0,1,0
BARC-100001,49,27900.0,5,MORTGAGE,10000,60,MAJOR_PURCHASE,12.91,0.0,2,0,0
BARC-100002,35,100800.0,3,OWN,10000,36,MAJOR_PURCHASE,24.42,82.85,0,2,1
BARC-100003,63,18800.0,3,MORTGAGE,5000,36,DEBT_CONSOLIDATION,12.33,50.71,1,1,0
BARC-100004,28,34300.0,3,MORTGAGE,2500,60,HOME_IMPROVEMENT,15.81,94.8,2,0,0
BARC-100005,41,43700.0,3,RENT,20000,36,MAJOR_PURCHASE,11.67,71.62,0,0,1
BARC-100006,59,21200.0,2,MORTGAGE,2500,36,DEBT_CONSOLIDATION,18.01,57.1,0,1,0
BARC-100007,39,47500.0,0,MORTGAGE,2500,60,HOME_IMPROVEMENT,23.97,47.94,0,1,0
BARC-100008,43,29100.0,8,RENT,5000,36,DEBT_CONSOLIDATION,36.48,69.64,0,1,1
BARC-100009,31,44600.0,1,RENT,2500,60,DEBT_CONSOLIDATION,24.33,30.08,0,1,0
BARC-100010,31,34200.0,10,RENT,10000,36,DEBT_CONSOLIDATION,22.67,48.18,0,0,0
BARC-100011,44,11800.0,3,MORTGAGE,10000,36,HOME_IMPROVEMENT,9.34,73.64,0,0,0
BARC-100012,56,74500.0,2,MORTGAGE,2500,36,HOME_IMPROVEMENT,35.84,71.89,0,4,1
BARC-100013,60,113400.0,3,RENT,5000,60,DEBT_CONSOLIDATION,10.43,27.35,0,0,0
BARC-100014,44,33000.0,1,RENT,5000,36,CREDIT_CARD_REFINANCE,13.32,33.47,0,0,0
BARC-100015,23,22200.0,10,RENT,5000,36,DEBT_CONSOLIDATION,15.68,42.37,0,0,0
BARC-100016,42,83100.0,1,RENT,15000,36,DEBT_CONSOLIDATION,20.62,50.84,0,2,0
BARC-100017,22,102700.0,5,RENT,7500,36,DEBT_CONSOLIDATION,10.09,62.16,0,1,0
BARC-100018,44,33100.0,1,OWN,15000,36,DEBT_CONSOLIDATION,36.29,9.65,0,2,0
BARC-100019,64,32200.0,0,MORTGAGE,10000,60,CREDIT_CARD_REFINANCE,12.57,45.84,3,0,0
BARC-100020,50,34800.0,8,OWN,15000,36,CREDIT_CARD_REFINANCE,12.98,3.59,0,0,0
BARC-100021,58,14500.0,5,RENT,5000,36,MAJOR_PURCHASE,12.85,70.08,0,0,0
BARC-100022,22,30900.0,0,RENT,10000,36,DEBT_CONSOLIDATION,7.67,58.94,0,0,0
BARC-100023,41,93300.0,10,OWN,10000,36,DEBT_CONSOLIDATION,17.91,21.83,1,0,0
BARC-100024,53,33100.0,3,MORTGAGE,10000,36,DEBT_CONSOLIDATION,23.88,63.22,1,1,1
BARC-100025,32,20500.0,3,MORTGAGE,7500,36,CREDIT_CARD_REFINANCE,11.32,65.59,0,1,0
BARC-100026,42,47700.0,5,RENT,2500,60,DEBT_CONSOLIDATION,13.04,43.67,0,1,0
BARC-100027,64,25200.0,2,RENT,7500,60,HOME_IMPROVEMENT,21.27,31.4,0,0,0
BARC-100028,45,35000.0,5,MORTGAGE,5000,60,HOME_IMPROVEMENT,14.43,64.23,1,0,0
BARC-100029,47,18100.0,2,RENT,5000,36,HOME_IMPROVEMENT,10.46,32.19,0,0,0
BARC-100030,62,20500.0,10,RENT,5000,36,CREDIT_CARD_REFINANCE,13.34,52.77,0,0,0
BARC-100031,48,54500.0,10,RENT,10000,60,DEBT_CONSOLIDATION,11.01,57.63,0,1,0
BARC-100032,36,38700.0,5,RENT,7500,36,CREDIT_CARD_REFINANCE,25.22,17.7,0,0,0
BARC-100033,35,23700.0,5,MORTGAGE,5000,60,MEDICAL,16.26,39.45,0,1,0
BARC-100034,67,38800.0,15,MORTGAGE,5000,36,DEBT_CONSOLIDATION,17.19,13.66,0,2,0
BARC-100035,64,26000.0,8,OWN,10000,36,DEBT_CONSOLIDATION,16.11,13.61,2,0,0
BARC-100036,23,23600.0,0,RENT,7500,60,MAJOR_PURCHASE,5.88,0.19,0,3,0
BARC-100037,57,68900.0,1,OWN,7500,36,DEBT_CONSOLIDATION,9.58,36.24,0,0,0
BARC-100038,27,55900.0,5,MORTGAGE,15000,36,CREDIT_CARD_REFINANCE,27.16,0.0,0,0,0
