customer_id,age,annual_income,emp_length_years,home_ownership,loan_amount,loan_term_months,loan_intent,debt_to_income,revolving_utilization,delinquencies_2yrs,credit_inquiries_6m,loan_status,prob_default_pd,credit_score,credit_risk_tier,loss_given_default_lgd,exposure_at_default_ead,expected_loss_gbp
BARC-100000,59,28600.0,5,RENT,5000,36,MAJOR_PURCHASE,11.0,71.73,0,1,0,0.1474544478118476,538,2. Near Prime (Moderate Risk),0.45,5000,331.77
BARC-100001,49,27900.0,5,MORTGAGE,10000,60,MAJOR_PURCHASE,12.91,0.0,2,0,0,0.11168400117823861,547,2. Near Prime (Moderate Risk),0.45,10000,502.58
BARC-100002,35,100800.0,3,OWN,10000,36,MAJOR_PURCHASE,24.42,82.85,0,2,1,0.19093406034301674,529,3. Subprime (High Risk),0.45,10000,859.2
BARC-100003,63,18800.0,3,MORTGAGE,5000,36,DEBT_CONSOLIDATION,12.33,50.71,1,1,0,0.20156050707454992,527,3. Subprime (High Risk),0.45,5000,453.51
BARC-100004,28,34300.0,3,MORTGAGE,2500,60,HOME_IMPROVEMENT,15.81,94.8,2,0,0,0.449733996398446,493,3. Subprime (High Risk),0.45,2500,505.95
BARC-100005,41,43700.0,3,RENT,20000,36,MAJOR_PURCHASE,11.67,71.62,0,0,1,0.10230580225139942,550,2. Near Prime (Moderate Risk),0.45,20000,920.75
BARC-100006,59,21200.0,2,MORTGAGE,2500,36,DEBT_CONSOLIDATION,18.01,57.1,0,1,0,0.1530410006869908,536,2. Near Prime (Moderate Risk),0.45,2500,172.17
BARC-100007,39,47500.0,0,MORTGAGE,2500,60,HOME_IMPROVEMENT,23.97,47.94,0,1,0,0.12774609537225098,543,2. Near Prime (Moderate Risk),0.45,2500,143.71
BARC-100008,43,29100.0,8,RENT,5000,36,DEBT_CONSOLIDATION,36.48,69.64,0,1,1,0.2948503312623413,512,3. Subprime (High Risk),0.45,5000,663.41
BARC-100009,31,44600.0,1,RENT,2500,60,DEBT_CONSOLIDATION,24.33,30.08,0,1,0,0.0975671822673252,551,2. Near Prime (Moderate Risk),0.45,2500,109.76
